column,tau,dimension,reason
Lab1_G1_N3,139,16,ArgumentError
Lab1_G1_N3,139,17,ArgumentError
Lab1_G1_N3,139,18,ArgumentError
Lab1_G1_N3,139,19,ArgumentError
Lab1_G1_N3,139,20,ArgumentError
Lab1_G1_N3,140,3,non_finite_uzal_cost
Lab1_G1_N3,140,11,ArgumentError
Lab1_G1_N3,140,12,ArgumentError
Lab1_G1_N3,140,13,ArgumentError
Lab1_G1_N3,140,14,ArgumentError
Lab1_G1_N3,140,15,ArgumentError
Lab1_G1_N3,140,16,ArgumentError
Lab1_G1_N3,140,17,ArgumentError
Lab1_G1_N3,140,18,ArgumentError
Lab1_G1_N3,140,19,ArgumentError
Lab1_G1_N3,140,20,ArgumentError
Lab1_G1_N3,141,3,non_finite_uzal_cost
Lab1_G1_N3,141,11,ArgumentError
Lab1_G1_N3,141,12,ArgumentError
Lab1_G1_N3,141,13,ArgumentError
Lab1_G1_N3,141,14,ArgumentError
Lab1_G1_N3,141,15,ArgumentError
Lab1_G1_N3,141,16,ArgumentError
Lab1_G1_N3,141,17,ArgumentError
Lab1_G1_N3,141,18,ArgumentError
Lab1_G1_N3,141,19,ArgumentError
Lab1_G1_N3,141,20,ArgumentError
Lab1_G1_N3,142,11,ArgumentError
Lab1_G1_N3,142,12,ArgumentError
Lab1_G1_N3,142,13,ArgumentError
Lab1_G1_N3,142,14,ArgumentError
Lab1_G1_N3,142,15,ArgumentError
Lab1_G1_N3,142,16,ArgumentError
Lab1_G1_N3,142,17,ArgumentError
Lab1_G1_N3,142,18,ArgumentError
Lab1_G1_N3,142,19,ArgumentError
Lab1_G1_N3,142,20,ArgumentError
Lab1_G1_N3,143,3,non_finite_uzal_cost
Lab1_G1_N3,143,11,ArgumentError
Lab1_G1_N3,143,12,ArgumentError
Lab1_G1_N3,143,13,ArgumentError
Lab1_G1_N3,143,14,ArgumentError
Lab1_G1_N3,143,15,ArgumentError
Lab1_G1_N3,143,16,ArgumentError
Lab1_G1_N3,143,17,ArgumentError
Lab1_G1_N3,143,18,ArgumentError
Lab1_G1_N3,143,19,ArgumentError
Lab1_G1_N3,143,20,ArgumentError
Lab1_G1_N3,144,3,non_finite_uzal_cost
Lab1_G1_N3,144,11,ArgumentError
Lab1_G1_N3,144,12,ArgumentError
Lab1_G1_N3,144,13,ArgumentError
Lab1_G1_N3,144,14,ArgumentError
Lab1_G1_N3,144,15,ArgumentError
Lab1_G1_N3,144,16,ArgumentError
Lab1_G1_N3,144,17,ArgumentError
Lab1_G1_N3,144,18,ArgumentError
Lab1_G1_N3,144,19,ArgumentError
Lab1_G1_N3,144,20,ArgumentError
Lab1_G1_N3,145,11,ArgumentError
Lab1_G1_N3,145,12,ArgumentError
Lab1_G1_N3,145,13,ArgumentError
Lab1_G1_N3,145,14,ArgumentError
Lab1_G1_N3,145,15,ArgumentError
Lab1_G1_N3,145,16,ArgumentError
Lab1_G1_N3,145,17,ArgumentError
Lab1_G1_N3,145,18,ArgumentError
Lab1_G1_N3,145,19,ArgumentError
Lab1_G1_N3,145,20,ArgumentError
Lab1_G1_N3,146,3,non_finite_uzal_cost
Lab1_G1_N3,146,11,ArgumentError
Lab1_G1_N3,146,12,ArgumentError
Lab1_G1_N3,146,13,ArgumentError
Lab1_G1_N3,146,14,ArgumentError
Lab1_G1_N3,146,15,ArgumentError
Lab1_G1_N3,146,16,ArgumentError
Lab1_G1_N3,146,17,ArgumentError
Lab1_G1_N3,146,18,ArgumentError
Lab1_G1_N3,146,19,ArgumentError
Lab1_G1_N3,146,20,ArgumentError
Lab1_G1_N3,147,3,non_finite_uzal_cost
Lab1_G1_N3,147,11,ArgumentError
Lab1_G1_N3,147,12,ArgumentError
Lab1_G1_N3,147,13,ArgumentError
Lab1_G1_N3,147,14,ArgumentError
Lab1_G1_N3,147,15,ArgumentError
Lab1_G1_N3,147,16,ArgumentError
