column,tau,dimension,uzal_cost
Lab1_G1_N1,34,3,1.0806339828251152
Lab1_G1_N1,63,5,1.080658156054156
Lab1_G1_N1,78,9,1.0806837146904928
Lab1_G1_N1,28,8,1.080696571460998
Lab1_G1_N1,70,9,1.080705427504732
Lab1_G1_N1,27,8,1.0807508413309566
Lab1_G1_N1,21,9,1.080824864709036
Lab1_G1_N1,84,5,1.0809134218977656
Lab1_G1_N1,87,3,1.080929374752559
Lab1_G1_N1,53,4,1.0809682205225544
Lab1_G1_N1,60,5,1.0809839288021932
Lab1_G1_N1,29,10,1.081013976904299
Lab1_G1_N1,18,8,1.0810388705857028
Lab1_G1_N1,66,8,1.081131535835196
Lab1_G1_N1,53,6,1.0811621273914964
Lab1_G1_N1,16,3,1.08124853158087
Lab1_G1_N1,48,4,1.0812882474381862
Lab1_G1_N1,51,4,1.0813078566843881
Lab1_G1_N1,39,10,1.0815600628566566
Lab1_G1_N1,43,6,1.0816258932534608
Lab1_G1_N1,42,3,1.0817324555049925
Lab1_G1_N1,89,8,1.0817603442493537
Lab1_G1_N1,51,5,1.0818591291445199
Lab1_G1_N1,36,5,1.0819782799066253
Lab1_G1_N1,33,8,1.0821429318865965
Lab1_G1_N1,46,4,1.0821671237425057
Lab1_G1_N1,43,7,1.0822392034437507
Lab1_G1_N1,98,8,1.0822518046812475
Lab1_G1_N1,63,6,1.0824448353764369
Lab1_G1_N1,52,6,1.0824556869946445
Lab1_G1_N1,91,9,1.0824622741226115
Lab1_G1_N1,55,3,1.0825383529567782
Lab1_G1_N1,18,9,1.0827917393674704
Lab1_G1_N1,40,9,1.0828071305565612
Lab1_G1_N1,9,7,1.0828433787645861
Lab1_G1_N1,11,10,1.0829089394921063
Lab1_G1_N1,49,9,1.0829806449408967
Lab1_G1_N1,42,9,1.0831328573912231
Lab1_G1_N1,65,3,1.0831414192001327
Lab1_G1_N1,58,3,1.0831862158912957
Lab1_G1_N1,47,4,1.0832527093673956
Lab1_G1_N1,53,8,1.0832552999244192
Lab1_G1_N1,24,9,1.0833967727172304
Lab1_G1_N1,87,4,1.0834915977993145
Lab1_G1_N1,89,9,1.0835426218235635
Lab1_G1_N1,14,9,1.0836200724290683
Lab1_G1_N1,35,8,1.0837511010384362
Lab1_G1_N1,44,6,1.0839158511423859
Lab1_G1_N1,58,5,1.0839792881222368
Lab1_G1_N1,34,9,1.0842414188402696
Lab1_G1_N1,22,9,1.0842415647578025
Lab1_G1_N1,42,6,1.0843111483430354
Lab1_G1_N1,59,4,1.0843116059551878
Lab1_G1_N1,50,6,1.0844198461925638
Lab1_G1_N1,43,8,1.0844678891925823
Lab1_G1_N1,14,3,1.0845675665300158
Lab1_G1_N1,56,4,1.0847048174274794
Lab1_G1_N1,82,8,1.0850203640197544
Lab1_G1_N1,81,9,1.0850504011116922
Lab1_G1_N1,9,8,1.0850685691946196
Lab1_G1_N1,55,4,1.085179884768084
Lab1_G1_N1,13,10,1.0852155969324027
Lab1_G1_N1,45,4,1.0852827716471907
Lab1_G1_N1,91,4,1.0853178755266966
Lab1_G1_N1,38,4,1.0853470004606474
Lab1_G1_N1,69,4,1.0856485686730746
Lab1_G1_N1,53,7,1.0857388285729654
Lab1_G1_N1,91,10,1.0858032121870886
Lab1_G1_N1,62,3,1.0859447904357158
Lab1_G1_N1,35,9,1.0859744350976388
Lab1_G1_N1,51,8,1.0860637616494802
Lab1_G1_N1,12,11,1.0864499496628959
Lab1_G1_N1,8,9,1.0865007035094605
Lab1_G1_N1,20,10,1.086547972980751
Lab1_G1_N1,59,3,1.086625305992989
Lab1_G1_N1,94,8,1.086683718060578
Lab1_G1_N1,17,10,1.086729380402174
Lab1_G1_N1,61,10,1.0867437484493405
Lab1_G1_N1,27,9,1.0868373516489074
Lab1_G1_N1,52,3,1.0870690183906255
Lab1_G1_N1,89,4,1.0870772301930525
Lab1_G1_N1,54,7,1.0871006317395828
Lab1_G1_N1,45,6,1.0871124784221498
Lab1_G1_N1,67,7,1.087171374443741
Lab1_G1_N1,67,3,1.0871898319381677
Lab1_G1_N1,95,7,1.0872909310613936
Lab1_G1_N1,44,3,1.0873004960903436
Lab1_G1_N1,60,9,1.0873159867740447
Lab1_G1_N1,90,9,1.0873713991870917
Lab1_G1_N1,69,3,1.0873941774539588
Lab1_G1_N1,76,9,1.0875004436114133
Lab1_G1_N1,68,10,1.0875281095672136
Lab1_G1_N1,26,8,1.0875721280341144
Lab1_G1_N1,44,7,1.087591847252851
Lab1_G1_N1,44,5,1.0876233054250994
Lab1_G1_N1,23,9,1.0876893993713956
Lab1_G1_N1,84,6,1.0878169832255336
Lab1_G1_N1,57,6,1.0879040808343
Lab1_G1_N1,82,9,1.0879111477010184
Lab1_G1_N1,15,10,1.088012058710583
Lab1_G1_N1,36,3,1.0881317672750772
Lab1_G1_N1,42,5,1.0882230956566856
Lab1_G1_N1,16,10,1.088280330259753
Lab1_G1_N1,25,9,1.0883439676527762
Lab1_G1_N1,53,5,1.0883875457277217
Lab1_G1_N1,86,3,1.0884880717115182
Lab1_G1_N1,41,9,1.0885990529689573
Lab1_G1_N1,36,10,1.088652467622255
Lab1_G1_N1,79,8,1.0886591018128273
Lab1_G1_N1,65,7,1.0887273507416166
Lab1_G1_N1,44,4,1.0887967196373924
Lab1_G1_N1,40,10,1.0890130098555364
Lab1_G1_N1,11,5,1.0890353486275768
Lab1_G1_N1,45,7,1.0892408487860914
Lab1_G1_N1,31,10,1.0892424474985427
Lab1_G1_N1,88,9,1.089251572342382
Lab1_G1_N1,56,5,1.089418910138991
Lab1_G1_N1,100,3,1.08951734766117
Lab1_G1_N1,96,8,1.089558927807406
Lab1_G1_N1,18,10,1.0896214216555522
Lab1_G1_N1,79,9,1.089673418866558
Lab1_G1_N1,61,4,1.0897382365353372
Lab1_G1_N1,52,8,1.0897477595689513
Lab1_G1_N1,46,10,1.0898624726556971
Lab1_G1_N1,66,9,1.0898738407737403
Lab1_G1_N1,36,4,1.0900836197892718
