column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_PposleNag,2,7,2,0.06651810556650162,0.07111084461212158,0.004592739045619965,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06651810556650162,0.07111084461212158,0.004592739045619965,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06158379465341568,0.06651810556650162,0.0049343109130859375,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06158379465341568,0.06651810556650162,0.0049343109130859375,False,1427,400,400
Lab1_PposleNag,2,7,2,0.05621805787086487,0.06651810556650162,0.01030004769563675,False,1427,400,400
Lab1_dev,4,5,2,1.7842652797698975,1.8237740993499756,0.039508819580078125,False,1423,400,400
Lab1_dev,4,5,2,1.5869380235671997,1.6018391847610474,0.014901161193847656,False,1423,400,400
Lab1_dev,4,5,2,1.5869380235671997,1.616602897644043,0.02966487407684326,False,1423,400,400
Lab1_dev,4,5,2,1.5567078590393066,1.6018391847610474,0.04513132572174072,False,1423,400,400
Lab1_dev,4,5,2,1.5567078590393066,1.6018391847610474,0.04513132572174072,False,1423,400,400
Lab1_dev,4,5,2,1.4784306287765503,1.6457332372665405,0.16730260848999023,False,1423,400,400
Lab1_dev,4,5,2,1.4622724056243896,1.5413703918457031,0.07909798622131348,False,1423,400,400
Lab1_dev,4,5,2,1.4294081926345825,1.4459335803985596,0.01652538776397705,False,1423,400,400
Lab1_dev,4,5,2,1.4126893281936646,1.4294081926345825,0.01671886444091797,False,1423,400,400
Lab1_dev,4,5,2,1.4126893281936646,1.4784306287765503,0.06574130058288574,False,1423,400,400
Lab1_dev,4,5,2,1.3957703113555908,1.4459335803985596,0.05016326904296875,False,1423,400,400
Lab1_dev,4,5,2,1.3786436319351196,1.3957703113555908,0.01712667942047119,False,1423,400,400
Lab1_dev,4,5,2,1.3613015413284302,1.4126893281936646,0.051387786865234375,False,1423,400,400
Lab1_dev,4,5,2,1.3613015413284302,1.3786436319351196,0.017342090606689453,False,1423,400,400
Lab1_dev,4,5,2,1.3613015413284302,1.3786436319351196,0.017342090606689453,False,1423,400,400
Lab1_dev,4,5,2,1.3437355756759644,1.4622724056243896,0.11853682994842529,False,1423,400,400
Lab1_dev,4,5,2,1.3437355756759644,1.4294081926345825,0.08567261695861816,False,1423,400,400
Lab1_dev,4,5,2,1.325937032699585,1.3437355756759644,0.017798542976379395,False,1423,400,400
Lab1_dev,4,5,2,1.325937032699585,1.4126893281936646,0.08675229549407959,False,1423,400,400
Lab1_dev,4,5,2,1.325937032699585,1.3613015413284302,0.035364508628845215,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.3613015413284302,0.05340540409088135,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.325937032699585,0.018040895462036133,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.325937032699585,0.018040895462036133,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.3437355756759644,0.03583943843841553,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.3613015413284302,0.05340540409088135,False,1423,400,400
Lab1_dev,4,5,2,1.3078961372375488,1.3437355756759644,0.03583943843841553,False,1423,400,400
Lab1_dev,4,5,2,1.2896029949188232,1.3078961372375488,0.018293142318725586,False,1423,400,400
Lab1_dev,4,5,2,1.2896029949188232,1.4294081926345825,0.13980519771575928,False,1423,400,400
Lab1_dev,4,5,2,1.2896029949188232,1.3613015413284302,0.07169854640960693,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.325937032699585,0.05489039421081543,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.2896029949188232,0.01855635643005371,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.3437355756759644,0.07268893718719482,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.3078961372375488,0.0368494987487793,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.325937032699585,0.05489039421081543,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.3078961372375488,0.0368494987487793,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.2896029949188232,0.01855635643005371,False,1423,400,400
Lab1_dev,4,5,2,1.2710466384887695,1.3957703113555908,0.12472367286682129,False,1423,400,400
Lab1_dev,4,5,2,1.2522152662277222,1.3078961372375488,0.05568087100982666,False,1423,400,400
Lab1_dev,4,5,2,1.2522152662277222,1.2896029949188232,0.037387728691101074,False,1423,400,400
Lab1_dev,4,5,2,1.2522152662277222,1.2710466384887695,0.018831372261047363,False,1423,400,400
Lab1_dev,4,5,2,1.2330963611602783,1.2896029949188232,0.05650663375854492,False,1423,400,400
Lab1_dev,4,5,2,1.2330963611602783,1.3437355756759644,0.11063921451568604,False,1423,400,400
Lab1_dev,4,5,2,1.2330963611602783,1.325937032699585,0.09284067153930664,False,1423,400,400
Lab1_dev,4,5,2,1.2330963611602783,1.2896029949188232,0.05650663375854492,False,1423,400,400
Lab1_dev,4,5,2,1.2330963611602783,1.2896029949188232,0.05650663375854492,False,1423,400,400
Lab1_dev,4,5,2,1.2136763334274292,1.2522152662277222,0.03853893280029297,False,1423,400,400
Lab1_dev,4,5,2,1.2136763334274292,1.2330963611602783,0.01942002773284912,False,1423,400,400
Lab1_dev,4,5,2,1.2136763334274292,1.2710466384887695,0.05737030506134033,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2522152662277222,0.05827486515045166,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2896029949188232,0.09566259384155273,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2522152662277222,0.05827486515045166,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2330963611602783,0.03915596008300781,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2330963611602783,0.03915596008300781,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2710466384887695,0.07710623741149902,False,1423,400,400
Lab1_dev,4,5,2,1.1939404010772705,1.2710466384887695,0.07710623741149902,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.2522152662277222,0.07834255695343018,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.1939404010772705,0.020067691802978516,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.1939404010772705,0.020067691802978516,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.2710466384887695,0.09717392921447754,False,1423,400,400
